iter	Passed	Remaining
0	0	76
1	1	70
2	2	66
3	2	62
4	3	62
5	3	61
6	4	60
7	5	59
8	5	58
9	6	57
10	7	57
11	7	58
12	8	57
13	9	57
14	9	56
15	10	55
16	11	54
17	11	54
18	12	53
19	13	52
20	13	52
21	14	51
22	15	50
23	15	50
24	16	49
25	17	49
26	17	48
27	18	47
28	19	47
29	19	46
30	20	45
31	21	45
32	22	44
33	22	44
34	23	43
35	24	43
36	24	42
37	25	41
38	26	41
39	26	40
40	27	39
41	27	38
42	28	37
43	29	37
44	29	36
45	30	35
46	31	35
47	31	34
48	32	33
49	33	33
50	33	32
51	34	32
52	35	31
53	36	30
54	36	29
55	37	29
56	38	28
57	38	28
58	39	27
59	40	26
60	40	26
61	41	25
62	42	24
63	43	24
64	43	23
65	44	23
66	45	22
67	46	21
68	46	21
69	47	20
70	48	19
71	49	19
72	49	18
73	50	17
74	51	17
75	52	16
76	52	15
77	53	15
78	54	14
79	54	13
80	55	13
81	56	12
82	56	11
83	57	10
84	58	10
85	59	9
86	59	8
87	60	8
88	61	7
89	61	6
90	62	6
91	63	5
92	63	4
93	64	4
94	65	3
95	66	2
96	66	2
97	67	1
98	68	0
99	68	0
